column_name,file_count,department
Cause of death (ICD-10),1,statcan
Central government debt,1,statcan
Central government operations,1,statcan
Characteristics of outstanding residential mortgage loans,1,statcan
Characteristics of residential mortgage loan increases,1,statcan
Civil and military movements,1,statcan
Class of electricity producer,1,statcan
Classification by Broad Economic Categories Rev 5 (BEC5),1,statcan
Co-operative characteristics,1,statcan
Coal types and uses,1,statcan
Coal volume,1,statcan
Commodities,1,statcan
Consumption category,1,statcan
Country of birth,1,statcan
Demographic adjustment,1,statcan
Domains,1,statcan
Dwelling Occupation,1,statcan
Economic indicator,1,statcan
Educational attainment,1,statcan
Effective date,1,statcan
Egg production,1,statcan
Elapsed time and median days from case initiation to first disposition,1,statcan
Elapsed time from case initiation to first disposition,1,statcan
"Electric power, components",1,statcan
Estimate type,1,statcan
Family type,1,statcan
Farm type,1,statcan
Financial estimates,1,statcan
Financial market statistics,1,statcan
Flight rules and runway 88,1,statcan
Fuel type,1,statcan
Government of Canada direct securities and loans,1,statcan
Hours and wages,1,statcan
Hours lost,1,statcan
Housing estimates,1,statcan
Immigration characteristics,1,statcan
Immigration status,1,statcan
Income quintile,1,statcan
Indigenous group,1,statcan
Industry expenditures,1,statcan
Industry of purchase,1,statcan
Institutional sector,1,statcan
Institutional sector,1,statcan
Interprovincial labour mobility,1,statcan
Job permanency,1,statcan
Main job,1,statcan
Maximum take-off weight,1,statcan
Mortgage loans increases,1,statcan
National Occupational Classification,1,statcan
Number of private dwellings of residential property,1,statcan
Official language of daycare and reasons for attending,1,statcan
Operational and financial statistics,1,statcan
Owner-occupied property type,1,statcan
Ownership type,1,statcan
Partner countries,1,statcan
Period of construction,1,statcan
Physical flow,1,statcan
Population centre and rural areas,1,statcan
Population group,1,statcan
Preference for daycare in the minority official language,1,statcan
Price index,1,statcan
Principal trading partner,1,statcan
Principal trading partner: Exports by country of destination,1,statcan
Prior activity,1,statcan
Process,1,statcan
Producer industry,1,statcan
Product category,1,statcan
Production and disposition,1,statcan
"Production, sales and inventories activities",1,statcan
Quintile,1,statcan
Rate,1,statcan
Reason,1,statcan
Reason for part-time work,1,statcan
Reason of absence,1,statcan
Residency status,1,statcan
Residential mortgage loans outstanding,1,statcan
Resin,1,statcan
Revenue class,1,statcan
Sales,1,statcan
Screened traffic,1,statcan
Sectors,1,statcan
Service categories,1,statcan
Service detail,1,statcan
Students,1,statcan
Sub-sectors,1,statcan
Summary statistics,1,statcan
Supplementary unemployment rates,1,statcan
Supply and demand characteristics,1,statcan
Supply of processing plant products,1,statcan
Tenure type,1,statcan
Tobacco products,1,statcan
Tourism share,1,statcan
Trade partners,1,statcan
Trading Partners,1,statcan
Type of action,1,statcan
Type of client,1,statcan
Type of electricity generation,1,statcan
Type of grain,1,statcan
Type of power plant,1,statcan
Type of unit,1,statcan
Union coverage,1,statcan
Units of measure,1,statcan
Usual hours worked,1,statcan
Wages,1,statcan
