signature,kind,file_count,num_columns,columns,example_dataset,example_source,department
ee19a9060cac,xml-element,16,8,@Geography | @Rate | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @UOM | @TERMINATED | Obs,"Selected United States dollar interest rates, last Wednesday unless otherwise stated, Bank of Canada",Dataset#10100123_1.xml#Series,statcan
20f24fac3877,xml-element,16,8,@Geography | @North_American_Product_Classification_System__NAPCS_ | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Lumber production, shipments, and stocks by species, monthly",Dataset#16100017_1.xml#Series,statcan
dae5337461cb,xml-element,16,11,@Geography | @Labour_force_characteristics | @North_American_Industry_Classification_System__NAICS_ | @Gender | @Age_group | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Labour force characteristics by industry, monthly, unadjusted for seasonality",Dataset#14100022_1.xml#Series,statcan
f6707b873d60,xml-element,16,11,@Geography | @Labour_force_characteristics | @Educational_attainment | @Gender | @Age_group | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Labour force characteristics by educational attainment, monthly, unadjusted for seasonality",Dataset#14100019_1.xml#Series,statcan
802a64fc1bf7,xml-element,15,10,@Geography | @Quintile | @Socio-demographic_characteristics | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs | @TERMINATED,"Distributions of household economic accounts, number of households, by income quintile and by socio-demographic characteristic",Dataset#36100101_1.xml#Series,statcan
0a047fc6920a,xml-element,15,2,Header | DataSet,"Canada's official international reserves, millions of United States dollars, Bank of Canada, daily",Dataset#10100141_18.xml#StructureSpecificData,statcan
7648cde3679d,xml-element,13,4,@id | @urn | Name | Annotations,"Daily average foreign exchange rates in Canadian dollars, Bank of Canada",Dataset#33100036_Structure.xml#Code,statcan
cb94a46cc39d,xml-element,13,10,@Geography | @North_American_Product_Classification_System__NAPCS_ | @Trade | @Principal_trading_partner__Exports_by_country_of_destination | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Canadian international merchandise trade for total exports, domestic exports and re-exports, customs-based, monthly, inactive",Dataset#12100179_1.xml#Series,statcan
2ebcfd217edf,xml-element,13,7,@Geography | @Screened_traffic | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @UOM | Obs,Screened passenger traffic at the largest airports in Canada,Dataset#23100312_1.xml#Series,statcan
da3baf74a129,xml-element,12,5,@id | @version | @agencyID | @package | @class,Monthly retail commodity sales,Dataset#20100080_Structure.xml#Ref,statcan
cfd75c77bf93,xml-element,12,9,@Geography | @Sex | @Characteristics | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Provisional weekly age-standardized mortality rates, by sex",Dataset#13100879_1.xml#Series,statcan
23c3c8b64d72,xml-element,12,10,@Geography__place_of_occurrence | @Age_at_time_of_death | @Sex | @Characteristics | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Provisional weekly death counts, by age group and sex",Dataset#13100768_1.xml#Series,statcan
